character_id_a,name_a,character_id_b,name_b,episode_count
1,Marge Simpson,2,Homer Simpson,563
2,Homer Simpson,9,Lisa Simpson,562
2,Homer Simpson,8,Bart Simpson,562
1,Marge Simpson,8,Bart Simpson,561
1,Marge Simpson,9,Lisa Simpson,561
8,Bart Simpson,9,Lisa Simpson,560
2,Homer Simpson,17,Moe Szyslak,376
8,Bart Simpson,17,Moe Szyslak,375
1,Marge Simpson,17,Moe Szyslak,375
9,Lisa Simpson,17,Moe Szyslak,374
2,Homer Simpson,25,Milhouse Van Houten,323
8,Bart Simpson,25,Milhouse Van Houten,322
1,Marge Simpson,25,Milhouse Van Houten,322
9,Lisa Simpson,25,Milhouse Van Houten,322
1,Marge Simpson,165,Lenny Leonard,319
2,Homer Simpson,165,Lenny Leonard,319
8,Bart Simpson,165,Lenny Leonard,317
9,Lisa Simpson,165,Lenny Leonard,317
2,Homer Simpson,71,Chief Wiggum,316
1,Marge Simpson,71,Chief Wiggum,315
9,Lisa Simpson,71,Chief Wiggum,314
8,Bart Simpson,71,Chief Wiggum,314
3,Seymour Skinner,8,Bart Simpson,296
2,Homer Simpson,3,Seymour Skinner,296
1,Marge Simpson,3,Seymour Skinner,296
3,Seymour Skinner,9,Lisa Simpson,295
1,Marge Simpson,170,Carl Carlson,281
2,Homer Simpson,170,Carl Carlson,281
2,Homer Simpson,11,Ned Flanders,280
1,Marge Simpson,11,Ned Flanders,280
8,Bart Simpson,11,Ned Flanders,280
8,Bart Simpson,170,Carl Carlson,280
9,Lisa Simpson,170,Carl Carlson,279
9,Lisa Simpson,11,Ned Flanders,278
2,Homer Simpson,101,Nelson Muntz,275
9,Lisa Simpson,101,Nelson Muntz,274
8,Bart Simpson,101,Nelson Muntz,274
1,Marge Simpson,101,Nelson Muntz,274
2,Homer Simpson,31,Grampa Simpson,265
9,Lisa Simpson,31,Grampa Simpson,264
1,Marge Simpson,31,Grampa Simpson,264
8,Bart Simpson,31,Grampa Simpson,264
165,Lenny Leonard,170,Carl Carlson,260
17,Moe Szyslak,165,Lenny Leonard,257
9,Lisa Simpson,15,C. Montgomery Burns,240
2,Homer Simpson,15,C. Montgomery Burns,240
1,Marge Simpson,15,C. Montgomery Burns,239
8,Bart Simpson,15,C. Montgomery Burns,239
2,Homer Simpson,139,Krusty the Clown,236
8,Bart Simpson,139,Krusty the Clown,235
1,Marge Simpson,139,Krusty the Clown,235
9,Lisa Simpson,211,Kent Brockman,234
8,Bart Simpson,211,Kent Brockman,234
9,Lisa Simpson,139,Krusty the Clown,234
2,Homer Simpson,211,Kent Brockman,234
1,Marge Simpson,211,Kent Brockman,233
17,Moe Szyslak,71,Chief Wiggum,230
17,Moe Szyslak,170,Carl Carlson,229
25,Milhouse Van Houten,101,Nelson Muntz,213
17,Moe Szyslak,25,Milhouse Van Houten,213
3,Seymour Skinner,25,Milhouse Van Houten,208
2,Homer Simpson,332,Dr. Julius Hibbert,207
9,Lisa Simpson,332,Dr. Julius Hibbert,206
1,Marge Simpson,332,Dr. Julius Hibbert,206
8,Bart Simpson,332,Dr. Julius Hibbert,205
3,Seymour Skinner,17,Moe Szyslak,202
11,Ned Flanders,17,Moe Szyslak,198
9,Lisa Simpson,208,Apu Nahasapeemapetilon,196
8,Bart Simpson,208,Apu Nahasapeemapetilon,196
71,Chief Wiggum,165,Lenny Leonard,196
2,Homer Simpson,208,Apu Nahasapeemapetilon,196
1,Marge Simpson,208,Apu Nahasapeemapetilon,196
3,Seymour Skinner,101,Nelson Muntz,191
3,Seymour Skinner,71,Chief Wiggum,186
8,Bart Simpson,33,Announcer,185
2,Homer Simpson,33,Announcer,185
9,Lisa Simpson,33,Announcer,184
1,Marge Simpson,33,Announcer,184
25,Milhouse Van Houten,71,Chief Wiggum,183
17,Moe Szyslak,31,Grampa Simpson,183
11,Ned Flanders,71,Chief Wiggum,180
9,Lisa Simpson,14,Waylon Smithers,179
2,Homer Simpson,14,Waylon Smithers,179
15,C. Montgomery Burns,17,Moe Szyslak,178
1,Marge Simpson,14,Waylon Smithers,178
8,Bart Simpson,14,Waylon Smithers,178
