character_id,name,gender,total_words,total_sentences,avg_words_per_sentence
1,Marge Simpson,f,1270666,13291,95.60349108419231
241,Entire Town,unknown,1154000,2,577000.0
2,Homer Simpson,m,682780,28169,24.23870211935106
3592,Robert Pinsky,unknown,672126,6,112021.0
2739,ABBA,unknown,571000,1,571000.0
9,Lisa Simpson,f,364576,10895,33.46268930702157
8,Bart Simpson,m,218814,13201,16.57556245738959
15,C. Montgomery Burns,m,36623,3121,11.734380006408202
17,Moe Szyslak,m,32855,2810,11.692170818505337
3,Seymour Skinner,m,28138,2390,11.773221757322176
11,Ned Flanders,m,22909,2057,11.137092853670394
139,Krusty the Clown,m,20897,1720,12.149418604651164
31,Grampa Simpson,m,20168,1875,10.756266666666667
71,Chief Wiggum,m,19992,1796,11.131403118040089
211,Kent Brockman,m,16311,905,18.023204419889503
25,Milhouse Van Houten,m,14985,1798,8.334260289210233
208,Apu Nahasapeemapetilon,m,11483,988,11.62246963562753
165,Lenny Leonard,m,9852,1144,8.611888111888112
14,Waylon Smithers,m,9533,965,9.878756476683938
101,Nelson Muntz,m,8475,1145,7.401746724890829
332,Dr. Julius Hibbert,m,7779,673,11.558692421991084
40,Edna Krabappel-Flanders,f,7672,761,10.081471747700395
170,Carl Carlson,m,7150,852,8.392018779342724
140,Rev. Timothy Lovejoy,m,6864,554,12.389891696750903
153,Sideshow Bob,m,6402,527,12.148007590132828
240,Mayor Joe Quimby,m,6135,495,12.393939393939394
801,Comic Book Guy,m,5719,463,12.352051835853132
1078,Gary Chalmers,m,5668,519,10.921001926782274
404,Groundskeeper Willie,m,5054,516,9.794573643410853
33,Announcer,m,4931,387,12.741602067183463
