character_id,name,episode_id,season,number_in_season,title,imdb_rating,total_words,total_sentences,avg_words_per_sentence
33,Announcer,1,1,1,Simpsons Roasting on an Open Fire,8.2,131,8,16.375
8,Bart Simpson,1,1,1,Simpsons Roasting on an Open Fire,8.2,335,49,6.836734693877551
15,C. Montgomery Burns,1,1,1,Simpsons Roasting on an Open Fire,8.2,45,3,15.0
31,Grampa Simpson,1,1,1,Simpsons Roasting on an Open Fire,8.2,4,2,2.0
2,Homer Simpson,1,1,1,Simpsons Roasting on an Open Fire,8.2,900,113,7.964601769911504
9,Lisa Simpson,1,1,1,Simpsons Roasting on an Open Fire,8.2,222,21,10.571428571428571
1,Marge Simpson,1,1,1,Simpsons Roasting on an Open Fire,8.2,373,42,8.880952380952381
25,Milhouse Van Houten,1,1,1,Simpsons Roasting on an Open Fire,8.2,19,2,9.5
17,Moe Szyslak,1,1,1,Simpsons Roasting on an Open Fire,8.2,26,2,13.0
11,Ned Flanders,1,1,1,Simpsons Roasting on an Open Fire,8.2,56,7,8.0
3,Seymour Skinner,1,1,1,Simpsons Roasting on an Open Fire,8.2,47,3,15.666666666666666
14,Waylon Smithers,1,1,1,Simpsons Roasting on an Open Fire,8.2,18,2,9.0
8,Bart Simpson,2,1,2,Bart the Genius,7.8,619,81,7.6419753086419755
40,Edna Krabappel-Flanders,2,1,2,Bart the Genius,7.8,87,8,10.875
2,Homer Simpson,2,1,2,Bart the Genius,7.8,543,55,9.872727272727273
9,Lisa Simpson,2,1,2,Bart the Genius,7.8,71,10,7.1
1,Marge Simpson,2,1,2,Bart the Genius,7.8,173,23,7.521739130434782
25,Milhouse Van Houten,2,1,2,Bart the Genius,7.8,9,2,4.5
3,Seymour Skinner,2,1,2,Bart the Genius,7.8,174,18,9.666666666666666
8,Bart Simpson,3,1,3,Homer's Odyssey,7.5,209,32,6.53125
15,C. Montgomery Burns,3,1,3,Homer's Odyssey,7.5,182,13,14.0
71,Chief Wiggum,3,1,3,Homer's Odyssey,7.5,34,1,34.0
40,Edna Krabappel-Flanders,3,1,3,Homer's Odyssey,7.5,191,14,13.642857142857142
2,Homer Simpson,3,1,3,Homer's Odyssey,7.5,852,58,14.689655172413794
9,Lisa Simpson,3,1,3,Homer's Odyssey,7.5,54,11,4.909090909090909
1,Marge Simpson,3,1,3,Homer's Odyssey,7.5,137,13,10.538461538461538
17,Moe Szyslak,3,1,3,Homer's Odyssey,7.5,80,8,10.0
14,Waylon Smithers,3,1,3,Homer's Odyssey,7.5,107,8,13.375
33,Announcer,4,1,4,There's No Disgrace Like Home,7.8,50,2,25.0
8,Bart Simpson,4,1,4,There's No Disgrace Like Home,7.8,189,42,4.5
15,C. Montgomery Burns,4,1,4,There's No Disgrace Like Home,7.8,203,18,11.277777777777779
2,Homer Simpson,4,1,4,There's No Disgrace Like Home,7.8,868,80,10.85
9,Lisa Simpson,4,1,4,There's No Disgrace Like Home,7.8,150,35,4.285714285714286
1,Marge Simpson,4,1,4,There's No Disgrace Like Home,7.8,326,40,8.15
17,Moe Szyslak,4,1,4,There's No Disgrace Like Home,7.8,31,4,7.75
14,Waylon Smithers,4,1,4,There's No Disgrace Like Home,7.8,61,9,6.777777777777778
8,Bart Simpson,5,1,5,Bart the General,8.1,795,101,7.871287128712871
31,Grampa Simpson,5,1,5,Bart the General,8.1,296,19,15.578947368421053
2,Homer Simpson,5,1,5,Bart the General,8.1,382,31,12.32258064516129
9,Lisa Simpson,5,1,5,Bart the General,8.1,224,28,8.0
1,Marge Simpson,5,1,5,Bart the General,8.1,140,16,8.75
25,Milhouse Van Houten,5,1,5,Bart the General,8.1,29,5,5.8
101,Nelson Muntz,5,1,5,Bart the General,8.1,135,17,7.9411764705882355
3,Seymour Skinner,5,1,5,Bart the General,8.1,79,6,13.166666666666666
8,Bart Simpson,6,1,6,Moaning Lisa,7.6,400,44,9.090909090909092
2,Homer Simpson,6,1,6,Moaning Lisa,7.6,586,59,9.932203389830509
9,Lisa Simpson,6,1,6,Moaning Lisa,7.6,339,44,7.704545454545454
1,Marge Simpson,6,1,6,Moaning Lisa,7.6,394,28,14.071428571428571
17,Moe Szyslak,6,1,6,Moaning Lisa,7.6,53,4,13.25
8,Bart Simpson,7,1,7,The Call of the Simpsons,7.9,176,37,4.756756756756757
2,Homer Simpson,7,1,7,The Call of the Simpsons,7.9,745,90,8.277777777777779
9,Lisa Simpson,7,1,7,The Call of the Simpsons,7.9,68,16,4.25
1,Marge Simpson,7,1,7,The Call of the Simpsons,7.9,191,24,7.958333333333333
11,Ned Flanders,7,1,7,The Call of the Simpsons,7.9,27,4,6.75
33,Announcer,8,1,8,The Telltale Head,7.7,11,1,11.0
8,Bart Simpson,8,1,8,The Telltale Head,7.7,555,66,8.409090909090908
15,C. Montgomery Burns,8,1,8,The Telltale Head,7.7,25,5,5.0
71,Chief Wiggum,8,1,8,The Telltale Head,7.7,27,1,27.0
40,Edna Krabappel-Flanders,8,1,8,The Telltale Head,7.7,3,1,3.0
31,Grampa Simpson,8,1,8,The Telltale Head,7.7,30,1,30.0
2,Homer Simpson,8,1,8,The Telltale Head,7.7,503,48,10.479166666666666
139,Krusty the Clown,8,1,8,The Telltale Head,7.7,70,6,11.666666666666666
9,Lisa Simpson,8,1,8,The Telltale Head,7.7,54,8,6.75
1,Marge Simpson,8,1,8,The Telltale Head,7.7,276,26,10.615384615384615
25,Milhouse Van Houten,8,1,8,The Telltale Head,7.7,6,1,6.0
17,Moe Szyslak,8,1,8,The Telltale Head,7.7,27,3,9.0
140,Rev. Timothy Lovejoy,8,1,8,The Telltale Head,7.7,77,4,19.25
3,Seymour Skinner,8,1,8,The Telltale Head,7.7,7,2,3.5
14,Waylon Smithers,8,1,8,The Telltale Head,7.7,13,2,6.5
8,Bart Simpson,9,1,9,Life on the Fast Lane,7.5,293,33,8.878787878787879
2,Homer Simpson,9,1,9,Life on the Fast Lane,7.5,505,52,9.711538461538462
165,Lenny Leonard,9,1,9,Life on the Fast Lane,7.5,19,3,6.333333333333333
9,Lisa Simpson,9,1,9,Life on the Fast Lane,7.5,202,25,8.08
1,Marge Simpson,9,1,9,Life on the Fast Lane,7.5,521,94,5.542553191489362
8,Bart Simpson,10,1,10,Homer's Night Out,7.4,260,40,6.5
15,C. Montgomery Burns,10,1,10,Homer's Night Out,7.4,191,13,14.692307692307692
170,Carl Carlson,10,1,10,Homer's Night Out,7.4,30,4,7.5
2,Homer Simpson,10,1,10,Homer's Night Out,7.4,831,70,11.871428571428572
165,Lenny Leonard,10,1,10,Homer's Night Out,7.4,11,2,5.5
9,Lisa Simpson,10,1,10,Homer's Night Out,7.4,34,9,3.7777777777777777
1,Marge Simpson,10,1,10,Homer's Night Out,7.4,312,33,9.454545454545455
25,Milhouse Van Houten,10,1,10,Homer's Night Out,7.4,24,9,2.6666666666666665
17,Moe Szyslak,10,1,10,Homer's Night Out,7.4,19,2,9.5
140,Rev. Timothy Lovejoy,10,1,10,Homer's Night Out,7.4,11,1,11.0
14,Waylon Smithers,10,1,10,Homer's Night Out,7.4,32,5,6.4
8,Bart Simpson,11,1,11,The Crepes of Wrath,7.8,387,50,7.74
2,Homer Simpson,11,1,11,The Crepes of Wrath,7.8,565,65,8.692307692307692
165,Lenny Leonard,11,1,11,The Crepes of Wrath,7.8,11,2,5.5
9,Lisa Simpson,11,1,11,The Crepes of Wrath,7.8,117,15,7.8
1,Marge Simpson,11,1,11,The Crepes of Wrath,7.8,331,38,8.710526315789474
25,Milhouse Van Houten,11,1,11,The Crepes of Wrath,7.8,18,4,4.5
3,Seymour Skinner,11,1,11,The Crepes of Wrath,7.8,361,22,16.40909090909091
33,Announcer,12,1,12,Krusty Gets Busted,8.3,13,1,13.0
208,Apu Nahasapeemapetilon,12,1,12,Krusty Gets Busted,8.3,101,6,16.833333333333332
8,Bart Simpson,12,1,12,Krusty Gets Busted,8.3,392,45,8.71111111111111
71,Chief Wiggum,12,1,12,Krusty Gets Busted,8.3,71,8,8.875
2,Homer Simpson,12,1,12,Krusty Gets Busted,8.3,282,27,10.444444444444445
211,Kent Brockman,12,1,12,Krusty Gets Busted,8.3,211,8,26.375
139,Krusty the Clown,12,1,12,Krusty Gets Busted,8.3,304,37,8.216216216216216
9,Lisa Simpson,12,1,12,Krusty Gets Busted,8.3,181,23,7.869565217391305
1,Marge Simpson,12,1,12,Krusty Gets Busted,8.3,110,11,10.0
140,Rev. Timothy Lovejoy,12,1,12,Krusty Gets Busted,8.3,83,2,41.5
153,Sideshow Bob,12,1,12,Krusty Gets Busted,8.3,578,30,19.266666666666666
33,Announcer,13,1,13,Some Enchanted Evening,7.9,117,5,23.4
8,Bart Simpson,13,1,13,Some Enchanted Evening,7.9,258,35,7.371428571428571
2,Homer Simpson,13,1,13,Some Enchanted Evening,7.9,584,66,8.848484848484848
9,Lisa Simpson,13,1,13,Some Enchanted Evening,7.9,155,26,5.961538461538462
1,Marge Simpson,13,1,13,Some Enchanted Evening,7.9,378,46,8.217391304347826
17,Moe Szyslak,13,1,13,Some Enchanted Evening,7.9,208,16,13.0
8,Bart Simpson,14,2,1,"Bart Gets an ""F""",8.2,1051,99,10.616161616161616
15,C. Montgomery Burns,14,2,1,"Bart Gets an ""F""",8.2,21,1,21.0
40,Edna Krabappel-Flanders,14,2,1,"Bart Gets an ""F""",8.2,332,34,9.764705882352942
241,Entire Town,14,2,1,"Bart Gets an ""F""",8.2,1154000,2,577000.0
2,Homer Simpson,14,2,1,"Bart Gets an ""F""",8.2,174,22,7.909090909090909
9,Lisa Simpson,14,2,1,"Bart Gets an ""F""",8.2,86,6,14.333333333333334
1,Marge Simpson,14,2,1,"Bart Gets an ""F""",8.2,138,15,9.2
240,Mayor Joe Quimby,14,2,1,"Bart Gets an ""F""",8.2,18,1,18.0
25,Milhouse Van Houten,14,2,1,"Bart Gets an ""F""",8.2,10,1,10.0
14,Waylon Smithers,14,2,1,"Bart Gets an ""F""",8.2,2,1,2.0
33,Announcer,15,2,2,Simpson and Delilah,8.3,15,1,15.0
8,Bart Simpson,15,2,2,Simpson and Delilah,8.3,26,9,2.888888888888889
15,C. Montgomery Burns,15,2,2,Simpson and Delilah,8.3,451,29,15.551724137931034
170,Carl Carlson,15,2,2,Simpson and Delilah,8.3,34,3,11.333333333333334
2,Homer Simpson,15,2,2,Simpson and Delilah,8.3,805,92,8.75
165,Lenny Leonard,15,2,2,Simpson and Delilah,8.3,72,5,14.4
9,Lisa Simpson,15,2,2,Simpson and Delilah,8.3,22,3,7.333333333333333
1,Marge Simpson,15,2,2,Simpson and Delilah,8.3,160,19,8.421052631578947
25,Milhouse Van Houten,15,2,2,Simpson and Delilah,8.3,2,1,2.0
14,Waylon Smithers,15,2,2,Simpson and Delilah,8.3,274,22,12.454545454545455
8,Bart Simpson,16,2,3,Treehouse of Horror,8.2,236,40,5.9
2,Homer Simpson,16,2,3,Treehouse of Horror,8.2,634,64,9.90625
9,Lisa Simpson,16,2,3,Treehouse of Horror,8.2,340,40,8.5
1,Marge Simpson,16,2,3,Treehouse of Horror,8.2,382,33,11.575757575757576
8,Bart Simpson,17,2,4,Two Cars in Every Garage and Three Eyes on Every Fish,8.1,65,11,5.909090909090909
15,C. Montgomery Burns,17,2,4,Two Cars in Every Garage and Three Eyes on Every Fish,8.1,997,78,12.782051282051283
31,Grampa Simpson,17,2,4,Two Cars in Every Garage and Three Eyes on Every Fish,8.1,30,4,7.5
2,Homer Simpson,17,2,4,Two Cars in Every Garage and Three Eyes on Every Fish,8.1,537,45,11.933333333333334
9,Lisa Simpson,17,2,4,Two Cars in Every Garage and Three Eyes on Every Fish,8.1,143,10,14.3
1,Marge Simpson,17,2,4,Two Cars in Every Garage and Three Eyes on Every Fish,8.1,219,20,10.95
17,Moe Szyslak,17,2,4,Two Cars in Every Garage and Three Eyes on Every Fish,8.1,11,2,5.5
14,Waylon Smithers,17,2,4,Two Cars in Every Garage and Three Eyes on Every Fish,8.1,34,7,4.857142857142857
33,Announcer,18,2,5,Dancin' Homer,7.5,9,1,9.0
8,Bart Simpson,18,2,5,Dancin' Homer,7.5,150,19,7.894736842105263
15,C. Montgomery Burns,18,2,5,Dancin' Homer,7.5,236,18,13.11111111111111
2,Homer Simpson,18,2,5,Dancin' Homer,7.5,1002,83,12.072289156626505
9,Lisa Simpson,18,2,5,Dancin' Homer,7.5,173,13,13.307692307692308
1,Marge Simpson,18,2,5,Dancin' Homer,7.5,204,21,9.714285714285714
25,Milhouse Van Houten,18,2,5,Dancin' Homer,7.5,22,4,5.5
17,Moe Szyslak,18,2,5,Dancin' Homer,7.5,22,5,4.4
14,Waylon Smithers,18,2,5,Dancin' Homer,7.5,41,8,5.125
8,Bart Simpson,19,2,6,Dead Putting Society,8.0,108213,45,2404.733333333333
2,Homer Simpson,19,2,6,Dead Putting Society,8.0,942,90,10.466666666666667
9,Lisa Simpson,19,2,6,Dead Putting Society,8.0,329,33,9.969696969696969
1,Marge Simpson,19,2,6,Dead Putting Society,8.0,206,25,8.24
11,Ned Flanders,19,2,6,Dead Putting Society,8.0,597,56,10.660714285714286
140,Rev. Timothy Lovejoy,19,2,6,Dead Putting Society,8.0,30,3,10.0
33,Announcer,20,2,7,Bart vs. Thanksgiving,7.7,36,2,18.0
8,Bart Simpson,20,2,7,Bart vs. Thanksgiving,7.7,513,66,7.7727272727272725
15,C. Montgomery Burns,20,2,7,Bart vs. Thanksgiving,7.7,34,3,11.333333333333334
31,Grampa Simpson,20,2,7,Bart vs. Thanksgiving,7.7,84,10,8.4
2,Homer Simpson,20,2,7,Bart vs. Thanksgiving,7.7,419,38,11.026315789473685
211,Kent Brockman,20,2,7,Bart vs. Thanksgiving,7.7,137,6,22.833333333333332
9,Lisa Simpson,20,2,7,Bart vs. Thanksgiving,7.7,336,31,10.838709677419354
1,Marge Simpson,20,2,7,Bart vs. Thanksgiving,7.7,302,35,8.628571428571428
14,Waylon Smithers,20,2,7,Bart vs. Thanksgiving,7.7,16,2,8.0
33,Announcer,21,2,8,Bart the Daredevil,8.4,36,2,18.0
8,Bart Simpson,21,2,8,Bart the Daredevil,8.4,356,48,7.416666666666667
332,Dr. Julius Hibbert,21,2,8,Bart the Daredevil,8.4,163,11,14.818181818181818
2,Homer Simpson,21,2,8,Bart the Daredevil,8.4,519,54,9.61111111111111
9,Lisa Simpson,21,2,8,Bart the Daredevil,8.4,133,13,10.23076923076923
1,Marge Simpson,21,2,8,Bart the Daredevil,8.4,147,19,7.7368421052631575
25,Milhouse Van Houten,21,2,8,Bart the Daredevil,8.4,38,7,5.428571428571429
17,Moe Szyslak,21,2,8,Bart the Daredevil,8.4,10,1,10.0
11,Ned Flanders,21,2,8,Bart the Daredevil,8.4,26,3,8.666666666666666
101,Nelson Muntz,21,2,8,Bart the Daredevil,8.4,12,2,6.0
3,Seymour Skinner,21,2,8,Bart the Daredevil,8.4,46,2,23.0
