character_id,name,normalized_name,gender
7,Children,children,unknown
12,Mechanical Santa,mechanical santa,unknown
13,Tattoo Man,tattoo man,unknown
16,DOCTOR ZITSOFSKY,doctor zitsofsky,unknown
20,Students,students,unknown
24,Little Boy,little boy,unknown
26,Lewis Clark,lewis clark,unknown
27,Little Girl,little girl,unknown
29,Bubbles,bubbles,unknown
30,Moldy,moldy,unknown
34,Ticket Seller,ticket seller,unknown
35,Elf #1,elf 1,unknown
36,Elves,elves,unknown
37,Dog's Owner,dogs owner,unknown
39,Kids,kids,unknown
41,Conductor,conductor,unknown
42,Secretary,secretary,unknown
46,Sydney,sydney,unknown
47,Cecile Shapiro,cecile shapiro,unknown
48,Ian,ian,unknown
49,Calvin,calvin,unknown
50,"Martin Prince, Sr.",martin prince sr,unknown
51,Richard,richard,unknown
53,Wendell Borton,wendell borton,unknown
57,Smilin' Joe Fission,smilin joe fission,unknown
58,Rod #1,rod 1,unknown
59,Rod #2,rod 2,unknown
60,RODS,rods,unknown
61,Workman #1,workman 1,unknown
62,Foreman,foreman,unknown
63,TERRI & SHERRI,terri sherri,unknown
64,PUNK TEENAGER,punk teenager,unknown
65,Tv Announcer #1,tv announcer 1,unknown
66,Tv Announcer #2,tv announcer 2,unknown
67,Jingle Chorus,jingle chorus,unknown
68,Sylvia Winfield,sylvia winfield,unknown
69,Old Man Winfield,old man winfield,unknown
70,Councilman #1,councilman 1,unknown
72,Councilman #2,councilman 2,unknown
73,COUNCILMEN #1/#2,councilmen 12,unknown
74,Demonstrator #1,demonstrator 1,unknown
75,Crowd,crowd,unknown
76,MR. GAMMILL,mr gammill,unknown
77,TOM,tom,unknown
78,Mrs. Long,mrs long,unknown
79,Wife #1,wife 1,unknown
80,Wife #2,wife 2,unknown
81,Other Women,other women,unknown
82,Nice Father,nice father,unknown
83,Nice Boy,nice boy,unknown
84,NICE GIRL,nice girl,unknown
85,Nice Mother,nice mother,unknown
86,NICE FAMILY,nice family,unknown
87,Williams Boy,williams boy,unknown
88,Mr. Williams,mr williams,unknown
89,BOXING ANNOUNCER,boxing announcer,unknown
92,TV-STATION ANNOUNCER,tv-station announcer,unknown
93,Tv Wife,tv wife,unknown
94,Tv Husband,tv husband,unknown
95,Small Boy,small boy,unknown
97,Pawn Broker,pawn broker,unknown
99,Homer-ish Husband,homer-ish husband,unknown
100,Weasel #1,weasel 1,unknown
102,ALL AT THE TABLE,all at the table,unknown
103,Kid,kid,unknown
104,Weasel #2,weasel 2,unknown
105,Maggie Simpson,maggie simpson,unknown
106,Homer's Image,homers image,unknown
107,Elderly Gentleman,elderly gentleman,unknown
109,All,all,unknown
1,Marge Simpson,marge simpson,f
8,Bart Simpson,bart simpson,m
9,Lisa Simpson,lisa simpson,f
17,Moe Szyslak,moe szyslak,m
3,Seymour Skinner,seymour skinner,m
11,Ned Flanders,ned flanders,m
31,Grampa Simpson,grampa simpson,m
71,Chief Wiggum,chief wiggum,m
25,Milhouse Van Houten,milhouse van houten,m
14,Waylon Smithers,waylon smithers,m
101,Nelson Muntz,nelson muntz,m
40,Edna Krabappel-Flanders,edna krabappel-flanders,f
33,Announcer,announcer,m
22,Selma Bouvier,selma bouvier,f
18,Barney Gumble,barney gumble,m
10,Patty Bouvier,patty bouvier,f
38,Martin Prince,martin prince,m
52,Otto Mann,otto mann,m
91,Lou,lou,m
5,Todd Flanders,todd flanders,m
96,Dr. Marvin Monroe,dr marvin monroe,m
43,Dr. J. Loren Pyror,dr j loren pyror,m
6,Dewey Largo,dewey largo,m
90,Eddie,eddie,m
21,Teacher,teacher,m
28,Clerk,clerk,m
32,Father,father,m
54,Sherri Mackleberry,sherri mackleberry,f
4,JANEY,janey,f
44,Ms. Melon,ms melon,f
19,Interviewer,interviewer,m
45,Ethan Foley,ethan foley,m
55,Terri Mackleberry,terri mackleberry,f
23,Voice,voice,m
98,Receptionist,receptionist,f
110,Ms. Barr,ms barr,unknown
113,Newsman,newsman,unknown
114,Barflies,barflies,unknown
116,Boy Onlooker,boy onlooker,unknown
117,Champ,champ,unknown
122,NED,ned,unknown
125,Homer's Canyon Echo,homers canyon echo,unknown
126,Camper Father,camper father,unknown
127,Camper Mother,camper mother,unknown
128,Photographer,photographer,unknown
129,Game Warden,game warden,unknown
130,Reporter #1,reporter 1,unknown
131,Reporter #2,reporter 2,unknown
132,Flunky,flunky,unknown
133,Map Boy,map boy,unknown
134,Man #1,man 1,unknown
135,Man #2,man 2,unknown
136,German Scientist,german scientist,unknown
137,Beautiful French Scientist,beautiful french scientist,unknown
138,English Scientist,english scientist,unknown
141,Announcer #1,announcer 1,unknown
142,Radio Announcer #1,radio announcer 1,unknown
143,Churchgoing Woman,churchgoing woman,unknown
147,Girl On Screen,girl on screen,unknown
148,Boy On Screen,boy on screen,unknown
149,Usher,usher,unknown
150,Mr. Dandy,mr dandy,unknown
151,Radio Announcer #3,radio announcer 3,unknown
152,Jebediah Springfield,jebediah springfield,unknown
154,TV ANNOUNCER #3 CONT'D,tv announcer 3 contd,unknown
155,Mob,mob,unknown
157,Waiters,waiters,unknown
158,1st Waiter Quartet,1st waiter quartet,unknown
159,2nd Waiter Quartet,2nd waiter quartet,unknown
160,3rd Waiter Quartet,3rd waiter quartet,unknown
161,4TH QUARTET OF WAITERS,4th quartet of waiters,unknown
162,Counter Guy,counter guy,unknown
164,HELEN,helen,unknown
166,Another Worker,another worker,unknown
167,Female Mail Carrier,female mail carrier,unknown
168,Mr. Fisk,mr fisk,unknown
169,Eugene Fisk,eugene fisk,unknown
172,Workers,workers,unknown
173,Princess Kashmir,princess kashmir,unknown
174,Hoyt,hoyt,unknown
175,Girl #1,girl 1,unknown
176,Boy #1,boy 1,unknown
177,All Kids,all kids,unknown
178,Freddie,freddie,unknown
179,Lewis's Dad,lewiss dad,unknown
180,Al,al,unknown
181,Happy Man,happy man,unknown
182,Funky Guy,funky guy,unknown
184,Man At Door,man at door,unknown
185,Ticket-seller,ticket-seller,unknown
186,Stage Manager,stage manager,unknown
188,Theatre-goer #1,theatre-goer 1,unknown
189,Theatre-goer #2,theatre-goer 2,unknown
190,Theatre-goer #3,theatre-goer 3,unknown
193,Steward,steward,unknown
195,Adil Hoxha,adil hoxha,unknown
196,UGOLIN,ugolin,unknown
198,Male Announcer,male announcer,unknown
199,Military Man,military man,unknown
200,MARGE & BART,marge bart,unknown
201,Gendarme,gendarme,unknown
202,Cia Agent #1,cia agent 1,unknown
203,Cia Agent #2,cia agent 2,unknown
204,Brad,brad,unknown
205,Female Announcer,female announcer,unknown
206,Brittany,brittany,unknown
207,ITCHY & SCRATCHY CHORUS,itchy scratchy chorus,unknown
209,Police Artist,police artist,unknown
210,Scott Christian,scott christian,unknown
212,Reporter #3,reporter 3,unknown
215,District Attorney,district attorney,unknown
216,Merchant,merchant,unknown
211,Kent Brockman,kent brockman,m
208,Apu Nahasapeemapetilon,apu nahasapeemapetilon,m
165,Lenny Leonard,lenny leonard,m
170,Carl Carlson,carl carlson,m
153,Sideshow Bob,sideshow bob,m
119,Ralph Wiggum,ralph wiggum,m
144,Jimbo Jones,jimbo jones,m
192,Agnes Skinner,agnes skinner,f
145,Kearney Zzyzwicz,kearney zzyzwicz,m
146,DOLPH,dolph,m
214,Judge Snyder,judge snyder,m
163,Jacques,jacques,m
124,Salesman,salesman,m
118,Woman,woman,f
121,Rod Flanders,rod flanders,m
183,Manager,manager,m
111,Bleeding Gums Murphy,bleeding gums murphy,m
123,Cowboy Bob,cowboy bob,m
112,Jacqueline Bouvier,jacqueline bouvier,f
171,Waiter,waiter,m
187,Gulliver Dark,gulliver dark,m
197,Cesar,cesar,m
120,Stan,stan,m
115,Cashier,cashier,m
191,Krusty Doll,krusty doll,m
213,Lawyer,lawyer,m
194,Mother,mother,f
217,Foreperson,foreperson,unknown
219,Merchandiser #1,merchandiser 1,unknown
220,Merchandiser #3,merchandiser 3,unknown
221,Kbbl Weatherman,kbbl weatherman,unknown
224,Screener,screener,unknown
225,Worker One,worker one,unknown
226,Florist,florist,unknown
227,Lucille Botzcowski,lucille botzcowski,unknown
228,Maitre D',maitre d,unknown
229,Doofy,doofy,unknown
230,U-Squeal Operator,u-squeal operator,unknown
231,Tv Reporter,tv reporter,unknown
233,Bart's Voice,barts voice,unknown
234,Krabappel's Mouth,krabappels mouth,unknown
235,GRANDMA,grandma,unknown
236,Nurse Farrell,nurse farrell,unknown
241,Entire Town,entire town,unknown
242,Thomas Jefferson,thomas jefferson,unknown
243,John Adams,john adams,unknown
244,Samuel Chase,samuel chase,unknown
245,Roger Sherman,roger sherman,unknown
246,Benjamin Franklin,benjamin franklin,unknown
247,Tv Host,tv host,unknown
248,Tv Contestant,tv contestant,unknown
249,Good-looking Man,good-looking man,unknown
250,Dr. H. Boyle,dr h boyle,unknown
251,Mr. Winfield,mr winfield,unknown
252,Mourners,mourners,unknown
253,Other Runner,other runner,unknown
254,Jake,jake,unknown
255,Woman Applicant,woman applicant,unknown
257,Man In Tuxedo,man in tuxedo,unknown
258,Executive #1,executive 1,unknown
259,Executive #3,executive 3,unknown
260,Moving Man,moving man,unknown
261,House,house,unknown
262,Kang,kang,unknown
263,Serak The Preparer,serak the preparer,unknown
264,Kodos,kodos,unknown
265,V.O.,vo,unknown
266,Raven,raven,unknown
267,Dave Shutton,dave shutton,unknown
268,Chief Inspector,chief inspector,unknown
269,Dean Danielson,dean danielson,unknown
271,DANEILSON,daneilson,unknown
274,OLD BEARDED GUY,old bearded guy,unknown
275,Charles Darwin,charles darwin,unknown
276,Singers,singers,unknown
277,MARY BAILEY,mary bailey,unknown
278,Investigator #1,investigator 1,unknown
279,Investigator #2,investigator 2,unknown
280,Investigator #3,investigator 3,unknown
281,Make-up Man,make-up man,unknown
282,Gregor,gregor,unknown
283,GAMMILL,gammill,unknown
284,FLASH,flash,unknown
285,Player #1,player 1,unknown
286,P.A. Announcer,pa announcer,unknown
288,Dan Hoard,dan hoard,unknown
289,Vendor,vendor,unknown
290,VENDER,vender,unknown
291,MR. O'HARA,mr ohara,unknown
292,Man On Bus,man on bus,unknown
293,Player #2,player 2,unknown
294,Rasta #1,rasta 1,unknown
295,Rasta #2,rasta 2,unknown
296,Supervisor,supervisor,unknown
297,Tony Bennett,tony bennett,unknown
298,Capital City Goofball,capital city goofball,unknown
299,Dave Glass,dave glass,unknown
300,First Wife #3,first wife 3,unknown
301,First Wife #1,first wife 1,unknown
302,Hot Dog Man,hot dog man,unknown
303,Spectator #1,spectator 1,unknown
304,Spectator #2,spectator 2,unknown
305,Spectator #3,spectator 3,unknown
306,Clubhouse Attendant,clubhouse attendant,unknown
307,Dave Rosenfield,dave rosenfield,unknown
310,Librarian,librarian,unknown
312,SENIOR CITIZENS,senior citizens,unknown
314,Announcer #2,announcer 2,unknown
315,Mrs. Spencer,mrs spencer,unknown
316,Security Guard #1,security guard 1,unknown
317,Casey,casey,unknown
318,Rory,rory,unknown
319,Transient,transient,unknown
320,Uncle Sam,uncle sam,unknown
321,Audience,audience,unknown
322,Tv Voice #1,tv voice 1,unknown
323,Tv Voice #2,tv voice 2,unknown
324,Tv Voice #3,tv voice 3,unknown
325,ALL THREE TV VOICES,all three tv voices,unknown
240,Mayor Joe Quimby,mayor joe quimby,m
308,Maude Flanders,maude flanders,f
309,Helen Lovejoy,helen lovejoy,f
273,Jasper Beardly,jasper beardly,m
311,Man,man,m
