duo,name,season,number_in_season,word_count
Homer vs Bart,Bart Simpson,2,19,5
Homer vs Bart,Bart Simpson,2,19,6
Homer vs Bart,Bart Simpson,2,19,10
Homer vs Bart,Bart Simpson,2,19,15
Homer vs Bart,Bart Simpson,2,19,1
Homer vs Bart,Bart Simpson,2,19,4
Homer vs Bart,Bart Simpson,2,19,2
Homer vs Bart,Bart Simpson,2,19,4
Homer vs Bart,Bart Simpson,2,19,1
Homer vs Bart,Homer Simpson,2,20,22
Homer vs Bart,Homer Simpson,2,19,30
Homer vs Bart,Homer Simpson,2,19,1
Homer vs Bart,Homer Simpson,2,19,1
Homer vs Bart,Homer Simpson,2,19,11
Homer vs Bart,Homer Simpson,2,19,1
Homer vs Bart,Homer Simpson,2,19,8
Homer vs Bart,Bart Simpson,2,19,16
Homer vs Bart,Homer Simpson,2,19,18
Homer vs Bart,Homer Simpson,2,19,2
Homer vs Bart,Homer Simpson,2,19,18
Homer vs Bart,Homer Simpson,2,19,1
Homer vs Bart,Homer Simpson,2,19,6
Homer vs Bart,Homer Simpson,2,19,11
Homer vs Bart,Homer Simpson,2,19,31
Homer vs Bart,Homer Simpson,2,20,1
Homer vs Bart,Homer Simpson,2,19,10
Homer vs Bart,Homer Simpson,2,19,3
Homer vs Bart,Homer Simpson,2,19,7
Homer vs Bart,Homer Simpson,2,19,4
Homer vs Bart,Homer Simpson,2,19,5
Homer vs Bart,Bart Simpson,2,19,10
Homer vs Bart,Homer Simpson,2,19,12
Homer vs Bart,Bart Simpson,2,19,1
Homer vs Bart,Homer Simpson,2,19,7
Homer vs Bart,Bart Simpson,2,19,1
Homer vs Bart,Homer Simpson,2,19,23
Homer vs Bart,Bart Simpson,2,19,2
Homer vs Bart,Homer Simpson,2,19,11
Homer vs Bart,Bart Simpson,2,19,3
Homer vs Bart,Homer Simpson,2,19,4
Homer vs Bart,Homer Simpson,2,19,2
Homer vs Bart,Homer Simpson,2,19,7
Homer vs Bart,Homer Simpson,2,19,23
Homer vs Bart,Homer Simpson,2,20,3
Homer vs Bart,Homer Simpson,2,20,8
Homer vs Bart,Bart Simpson,2,20,8
Homer vs Bart,Homer Simpson,2,20,8
Homer vs Bart,Homer Simpson,2,20,5
Homer vs Bart,Homer Simpson,2,20,4
Homer vs Bart,Homer Simpson,2,20,7
Homer vs Bart,Homer Simpson,2,20,7
Homer vs Bart,Homer Simpson,2,20,6
Homer vs Bart,Homer Simpson,2,20,13
Homer vs Bart,Homer Simpson,2,20,23
Homer vs Bart,Homer Simpson,2,20,1
Homer vs Bart,Homer Simpson,2,20,6
Homer vs Bart,Homer Simpson,2,20,7
Homer vs Bart,Bart Simpson,2,21,2
Homer vs Bart,Homer Simpson,2,20,10
Homer vs Bart,Homer Simpson,2,20,4
Homer vs Bart,Bart Simpson,2,20,1
Homer vs Bart,Homer Simpson,2,20,9
Homer vs Bart,Bart Simpson,2,20,2
Homer vs Bart,Homer Simpson,2,20,9
Homer vs Bart,Bart Simpson,2,20,1
Homer vs Bart,Homer Simpson,2,20,7
Homer vs Bart,Bart Simpson,2,20,1
Homer vs Bart,Homer Simpson,2,20,3
Homer vs Bart,Homer Simpson,2,20,10
Homer vs Bart,Homer Simpson,2,20,15
Homer vs Bart,Homer Simpson,2,20,11
Homer vs Bart,Homer Simpson,2,20,3
Homer vs Bart,Homer Simpson,2,20,9
Homer vs Bart,Homer Simpson,2,20,8
Homer vs Bart,Homer Simpson,2,20,4
Homer vs Bart,Homer Simpson,2,20,1
Homer vs Bart,Homer Simpson,2,20,4
Homer vs Bart,Bart Simpson,2,20,6
Homer vs Bart,Homer Simpson,2,20,4
Homer vs Bart,Homer Simpson,2,20,16
Homer vs Bart,Homer Simpson,2,20,4
Homer vs Bart,Homer Simpson,2,20,9
Homer vs Bart,Homer Simpson,2,20,12
Homer vs Bart,Homer Simpson,2,20,10
Homer vs Bart,Homer Simpson,2,20,18
Homer vs Bart,Bart Simpson,2,20,6
Homer vs Bart,Homer Simpson,2,20,27
Homer vs Bart,Bart Simpson,2,20,15
Homer vs Bart,Homer Simpson,2,20,1
Homer vs Bart,Homer Simpson,2,20,2
Homer vs Bart,Homer Simpson,2,20,2
Homer vs Bart,Homer Simpson,2,20,1
Homer vs Bart,Homer Simpson,2,20,9
Homer vs Bart,Homer Simpson,2,20,8
Homer vs Bart,Homer Simpson,2,20,6
Homer vs Bart,Bart Simpson,2,20,4
Homer vs Bart,Homer Simpson,2,20,20
Homer vs Bart,Bart Simpson,2,20,5
Homer vs Bart,Homer Simpson,2,20,17
Homer vs Bart,Bart Simpson,2,20,13
Homer vs Bart,Bart Simpson,2,20,20
Homer vs Bart,Homer Simpson,2,20,3
Homer vs Bart,Homer Simpson,2,20,10
Homer vs Bart,Bart Simpson,2,20,26
Homer vs Bart,Homer Simpson,2,20,2
Homer vs Bart,Homer Simpson,2,20,5
Homer vs Bart,Homer Simpson,2,20,11
Homer vs Bart,Homer Simpson,2,20,2
Homer vs Bart,Homer Simpson,2,20,10
Homer vs Bart,Homer Simpson,2,20,2
Homer vs Bart,Homer Simpson,2,20,4
Homer vs Bart,Homer Simpson,2,20,1
Homer vs Bart,Homer Simpson,2,20,9
Homer vs Bart,Bart Simpson,2,20,18
Homer vs Bart,Bart Simpson,2,20,23
Homer vs Bart,Homer Simpson,2,20,5
Homer vs Bart,Homer Simpson,2,20,14
Homer vs Bart,Homer Simpson,2,20,1
Homer vs Bart,Homer Simpson,2,20,7
Homer vs Bart,Homer Simpson,2,20,8
Homer vs Bart,Homer Simpson,2,20,10
Homer vs Bart,Homer Simpson,2,20,2
Homer vs Bart,Homer Simpson,2,20,6
Homer vs Bart,Homer Simpson,2,20,2
Homer vs Bart,Homer Simpson,2,20,5
Homer vs Bart,Homer Simpson,2,20,1
Homer vs Bart,Homer Simpson,2,20,8
Homer vs Bart,Bart Simpson,2,20,1
Homer vs Bart,Bart Simpson,2,20,1
Homer vs Bart,Bart Simpson,2,20,1
Homer vs Bart,Bart Simpson,2,20,3
Homer vs Bart,Bart Simpson,2,20,8
Homer vs Bart,Bart Simpson,2,20,12
Homer vs Bart,Homer Simpson,2,20,28
Homer vs Bart,Homer Simpson,2,20,9
Homer vs Bart,Homer Simpson,2,20,16
Homer vs Bart,Homer Simpson,2,21,1
Homer vs Bart,Homer Simpson,2,20,11
Homer vs Bart,Homer Simpson,2,20,15
Homer vs Bart,Homer Simpson,2,20,6
Homer vs Bart,Homer Simpson,2,20,24
Homer vs Bart,Bart Simpson,2,20,5
Homer vs Bart,Bart Simpson,2,20,5
Homer vs Bart,Homer Simpson,2,20,3
Homer vs Bart,Homer Simpson,2,20,1
Homer vs Bart,Bart Simpson,2,20,15
Homer vs Bart,Homer Simpson,2,20,34
Homer vs Bart,Homer Simpson,2,20,3
Homer vs Bart,Bart Simpson,2,20,9
Homer vs Bart,Bart Simpson,2,20,7
Homer vs Bart,Bart Simpson,2,20,3
Homer vs Bart,Bart Simpson,2,20,8
Homer vs Bart,Homer Simpson,2,20,8
Homer vs Bart,Bart Simpson,2,20,12
Homer vs Bart,Bart Simpson,2,20,11
Homer vs Bart,Bart Simpson,2,20,9
Homer vs Bart,Homer Simpson,2,20,20
Homer vs Bart,Homer Simpson,2,20,2
Homer vs Bart,Homer Simpson,2,20,9
Homer vs Bart,Bart Simpson,2,21,2
Homer vs Bart,Homer Simpson,2,20,27
Homer vs Bart,Homer Simpson,2,20,7
Homer vs Bart,Homer Simpson,2,20,11
Homer vs Bart,Homer Simpson,2,20,1
Homer vs Bart,Homer Simpson,2,20,40
Homer vs Bart,Homer Simpson,2,20,2
Homer vs Bart,Homer Simpson,2,20,4
Homer vs Bart,Bart Simpson,2,20,6
Homer vs Bart,Bart Simpson,2,21,10
Homer vs Bart,Bart Simpson,2,21,16
Homer vs Bart,Bart Simpson,2,21,14
Homer vs Bart,Bart Simpson,2,21,5
Homer vs Bart,Bart Simpson,2,21,14
Homer vs Bart,Bart Simpson,2,21,16
Homer vs Bart,Bart Simpson,2,21,6
Homer vs Bart,Bart Simpson,2,21,1
Homer vs Bart,Bart Simpson,2,21,2
Homer vs Bart,Bart Simpson,2,21,3
Homer vs Bart,Bart Simpson,2,21,2
Homer vs Bart,Bart Simpson,2,21,5
Homer vs Bart,Bart Simpson,2,21,1
Homer vs Bart,Bart Simpson,2,21,8
Homer vs Bart,Bart Simpson,2,21,8
Homer vs Bart,Bart Simpson,2,21,15
Homer vs Bart,Bart Simpson,2,21,17
Homer vs Bart,Bart Simpson,2,21,5
Homer vs Bart,Bart Simpson,2,21,7
Homer vs Bart,Bart Simpson,2,21,5
Homer vs Bart,Bart Simpson,2,21,25
Homer vs Bart,Homer Simpson,2,21,23
Homer vs Bart,Homer Simpson,2,21,17
Homer vs Bart,Bart Simpson,2,21,20
Homer vs Bart,Homer Simpson,2,21,7
Homer vs Bart,Bart Simpson,2,21,9
Homer vs Bart,Homer Simpson,2,21,11
Homer vs Bart,Bart Simpson,2,21,12
Homer vs Bart,Homer Simpson,2,21,2
Homer vs Bart,Bart Simpson,2,21,2
Homer vs Bart,Homer Simpson,2,21,1
Homer vs Bart,Bart Simpson,2,21,2
Homer vs Bart,Homer Simpson,2,21,1
Homer vs Bart,Bart Simpson,2,21,2
Homer vs Bart,Homer Simpson,2,21,1
Homer vs Bart,Bart Simpson,2,21,2
Homer vs Bart,Homer Simpson,2,21,1
Homer vs Bart,Bart Simpson,2,21,2
Homer vs Bart,Homer Simpson,2,21,1
Homer vs Bart,Bart Simpson,2,21,2
Homer vs Bart,Homer Simpson,2,21,1
Homer vs Bart,Bart Simpson,2,21,2
Homer vs Bart,Homer Simpson,2,21,1
Homer vs Bart,Bart Simpson,2,21,2
Homer vs Bart,Homer Simpson,2,21,51
Homer vs Bart,Bart Simpson,2,21,1
Homer vs Bart,Homer Simpson,2,21,2
Homer vs Bart,Bart Simpson,2,21,1
Homer vs Bart,Homer Simpson,2,21,2
Homer vs Bart,Bart Simpson,2,21,1
Homer vs Bart,Homer Simpson,2,21,2
Homer vs Bart,Bart Simpson,2,21,1
Homer vs Bart,Homer Simpson,2,21,2
Homer vs Bart,Bart Simpson,2,21,1
Homer vs Bart,Homer Simpson,2,21,2
Homer vs Bart,Bart Simpson,2,21,1
Homer vs Bart,Homer Simpson,2,21,2
Homer vs Bart,Bart Simpson,2,21,1
Homer vs Bart,Homer Simpson,2,21,2
Homer vs Bart,Bart Simpson,2,21,1
Homer vs Bart,Homer Simpson,2,21,2
Homer vs Bart,Bart Simpson,2,21,1
Homer vs Bart,Homer Simpson,2,21,2
Homer vs Bart,Bart Simpson,2,21,1
Homer vs Bart,Homer Simpson,2,21,2
Homer vs Bart,Bart Simpson,2,21,1
Homer vs Bart,Homer Simpson,2,21,17
Homer vs Bart,Bart Simpson,2,21,22
Homer vs Bart,Bart Simpson,2,21,1
Homer vs Bart,Homer Simpson,2,21,6
Homer vs Bart,Bart Simpson,2,21,2
Homer vs Bart,Homer Simpson,2,21,3
Homer vs Bart,Bart Simpson,2,21,1
Homer vs Bart,Bart Simpson,2,21,9
Homer vs Bart,Bart Simpson,2,21,4
Homer vs Bart,Bart Simpson,2,21,5
Homer vs Bart,Bart Simpson,2,21,4
Homer vs Bart,Bart Simpson,2,21,7
Homer vs Bart,Bart Simpson,2,21,1
Homer vs Bart,Bart Simpson,2,21,5
Homer vs Bart,Bart Simpson,2,21,9
Homer vs Bart,Bart Simpson,2,21,11
Homer vs Bart,Bart Simpson,2,21,12
Homer vs Bart,Bart Simpson,2,21,10
Homer vs Bart,Bart Simpson,2,21,14
Homer vs Bart,Bart Simpson,2,21,2
Homer vs Bart,Bart Simpson,2,21,5
Homer vs Bart,Bart Simpson,2,21,17
Homer vs Bart,Bart Simpson,2,21,4
Homer vs Bart,Homer Simpson,2,21,5
Homer vs Bart,Homer Simpson,2,21,7
Homer vs Bart,Bart Simpson,2,21,2
Homer vs Bart,Bart Simpson,2,21,4
Homer vs Bart,Bart Simpson,2,21,2
Homer vs Bart,Bart Simpson,2,21,3
Homer vs Bart,Bart Simpson,2,21,10
Homer vs Bart,Bart Simpson,2,21,3
Homer vs Bart,Bart Simpson,2,21,2
Homer vs Bart,Bart Simpson,2,21,1
Homer vs Bart,Bart Simpson,2,21,8
Homer vs Bart,Bart Simpson,2,21,2
Homer vs Bart,Bart Simpson,2,21,11
Homer vs Bart,Bart Simpson,2,21,3
Homer vs Bart,Bart Simpson,2,21,6
Homer vs Bart,Bart Simpson,2,21,10
Homer vs Bart,Bart Simpson,2,21,3
Homer vs Bart,Bart Simpson,2,21,10
Homer vs Bart,Bart Simpson,2,21,20
Homer vs Bart,Bart Simpson,2,21,2
Homer vs Bart,Bart Simpson,2,21,2
Homer vs Bart,Bart Simpson,2,21,26
Homer vs Bart,Bart Simpson,2,21,9
Homer vs Bart,Homer Simpson,2,21,4
Homer vs Bart,Bart Simpson,2,21,19
Homer vs Bart,Homer Simpson,2,21,13
Homer vs Bart,Bart Simpson,2,21,1
Homer vs Bart,Homer Simpson,2,21,1
Homer vs Bart,Bart Simpson,2,21,22
Homer vs Bart,Homer Simpson,2,21,15
Homer vs Bart,Bart Simpson,2,21,6
Homer vs Bart,Bart Simpson,2,21,24
Homer vs Bart,Bart Simpson,2,21,27
Homer vs Bart,Bart Simpson,2,21,5
Homer vs Bart,Bart Simpson,2,21,10
Homer vs Bart,Bart Simpson,2,21,1
Homer vs Bart,Bart Simpson,2,21,4
Homer vs Bart,Bart Simpson,2,21,15
Homer vs Bart,Bart Simpson,2,21,5
Homer vs Bart,Bart Simpson,2,21,1
Homer vs Bart,Bart Simpson,2,21,4
Homer vs Bart,Bart Simpson,2,21,1
Homer vs Bart,Bart Simpson,2,21,4
Homer vs Bart,Bart Simpson,2,21,18
Homer vs Bart,Bart Simpson,2,21,26
Homer vs Bart,Bart Simpson,2,21,3
Homer vs Bart,Bart Simpson,2,21,8
Homer vs Bart,Bart Simpson,2,21,4
Homer vs Bart,Bart Simpson,2,21,17
Homer vs Bart,Bart Simpson,2,21,3
Homer vs Bart,Bart Simpson,2,21,8
Homer vs Bart,Bart Simpson,2,21,12
Homer vs Bart,Bart Simpson,2,21,11
Homer vs Bart,Bart Simpson,2,22,2
Homer vs Bart,Bart Simpson,2,21,22
Homer vs Bart,Bart Simpson,2,21,20
Homer vs Bart,Bart Simpson,2,21,8
Homer vs Bart,Bart Simpson,2,21,9
Homer vs Bart,Bart Simpson,2,21,4
Homer vs Bart,Homer Simpson,2,21,2
Homer vs Bart,Bart Simpson,2,21,18
Homer vs Bart,Bart Simpson,2,21,4
Homer vs Bart,Bart Simpson,2,21,2
Homer vs Bart,Bart Simpson,2,21,21
Homer vs Bart,Bart Simpson,2,21,8
Homer vs Bart,Homer Simpson,2,22,16
Homer vs Bart,Homer Simpson,2,22,8
Homer vs Bart,Homer Simpson,2,22,37
Homer vs Bart,Homer Simpson,2,22,2
Homer vs Bart,Homer Simpson,2,22,6
Homer vs Bart,Homer Simpson,2,22,10
Homer vs Bart,Bart Simpson,2,22,6
Homer vs Bart,Homer Simpson,2,22,1
Homer vs Bart,Bart Simpson,2,22,1
Homer vs Bart,Bart Simpson,2,22,1
Homer vs Bart,Homer Simpson,2,22,22
Homer vs Bart,Homer Simpson,2,22,14
Homer vs Bart,Bart Simpson,2,22,15
Homer vs Bart,Homer Simpson,2,22,8
Homer vs Bart,Homer Simpson,2,22,46
Homer vs Bart,Bart Simpson,2,22,5
Homer vs Bart,Homer Simpson,2,22,64
Homer vs Bart,Bart Simpson,2,22,6
Homer vs Bart,Homer Simpson,2,22,5
Homer vs Bart,Bart Simpson,2,22,1
Homer vs Bart,Homer Simpson,2,22,6
Homer vs Bart,Bart Simpson,2,22,5
Homer vs Bart,Homer Simpson,2,22,8
Homer vs Bart,Homer Simpson,2,22,3
Homer vs Bart,Homer Simpson,2,22,5
Homer vs Bart,Homer Simpson,2,22,19
Homer vs Bart,Homer Simpson,2,22,15
Homer vs Bart,Homer Simpson,2,22,12
Homer vs Bart,Homer Simpson,2,22,11
Homer vs Bart,Homer Simpson,2,22,5
Homer vs Bart,Homer Simpson,2,22,42
Homer vs Bart,Homer Simpson,2,22,36
Homer vs Bart,Homer Simpson,2,22,31
Homer vs Bart,Bart Simpson,2,22,5
Homer vs Bart,Homer Simpson,2,22,1
Homer vs Bart,Homer Simpson,2,22,24
Homer vs Bart,Homer Simpson,2,22,36
Homer vs Bart,Bart Simpson,2,22,2
Homer vs Bart,Homer Simpson,2,22,16
Homer vs Bart,Bart Simpson,2,22,3
Homer vs Bart,Homer Simpson,2,22,3
Homer vs Bart,Homer Simpson,2,22,1
Homer vs Bart,Homer Simpson,2,22,3
Homer vs Bart,Homer Simpson,2,22,13
Homer vs Bart,Homer Simpson,2,22,2
Homer vs Bart,Homer Simpson,2,22,1
Homer vs Bart,Homer Simpson,2,22,19
Homer vs Bart,Homer Simpson,2,22,3
Homer vs Bart,Homer Simpson,2,22,3
Homer vs Bart,Homer Simpson,2,22,11
Homer vs Bart,Homer Simpson,2,22,6
Homer vs Bart,Bart Simpson,2,22,1
Homer vs Bart,Homer Simpson,2,22,11
Homer vs Bart,Bart Simpson,2,22,6
Homer vs Bart,Homer Simpson,2,22,2
Homer vs Bart,Bart Simpson,2,22,4
Homer vs Bart,Homer Simpson,2,22,1
Homer vs Bart,Bart Simpson,2,22,8
Homer vs Bart,Homer Simpson,2,22,5
Homer vs Bart,Bart Simpson,2,22,38
Homer vs Bart,Homer Simpson,2,22,7
Homer vs Bart,Homer Simpson,2,22,18
Homer vs Bart,Homer Simpson,2,22,7
Homer vs Bart,Bart Simpson,2,22,8
Homer vs Bart,Homer Simpson,2,22,20
Homer vs Bart,Bart Simpson,2,22,4
Homer vs Bart,Homer Simpson,2,22,24
Homer vs Bart,Bart Simpson,2,22,9
Homer vs Bart,Homer Simpson,2,22,35
Homer vs Bart,Homer Simpson,2,22,17
Homer vs Bart,Bart Simpson,2,22,5
Homer vs Bart,Homer Simpson,2,22,7
Homer vs Bart,Bart Simpson,2,22,6
Homer vs Bart,Homer Simpson,2,22,26
Homer vs Bart,Homer Simpson,2,22,5
Homer vs Bart,Homer Simpson,2,22,14
Homer vs Bart,Homer Simpson,2,22,3
Homer vs Bart,Homer Simpson,2,22,3
Homer vs Bart,Homer Simpson,2,22,18
Homer vs Bart,Homer Simpson,2,22,1
Homer vs Bart,Homer Simpson,2,22,11
Homer vs Bart,Bart Simpson,2,22,15
Homer vs Bart,Homer Simpson,2,22,2
Homer vs Bart,Homer Simpson,2,22,7
Homer vs Bart,Homer Simpson,2,22,10
Homer vs Bart,Homer Simpson,2,22,13
Homer vs Bart,Homer Simpson,2,22,7
Homer vs Bart,Homer Simpson,2,22,27
Homer vs Bart,Bart Simpson,2,22,9
Homer vs Bart,Homer Simpson,2,22,9
Homer vs Bart,Homer Simpson,2,22,4
Homer vs Bart,Homer Simpson,2,22,7
Homer vs Bart,Bart Simpson,2,22,3
Homer vs Bart,Homer Simpson,2,22,14
Homer vs Bart,Bart Simpson,2,22,5
Homer vs Bart,Bart Simpson,2,22,1
Homer vs Bart,Homer Simpson,2,22,5
Homer vs Bart,Homer Simpson,2,22,6
Homer vs Bart,Homer Simpson,2,22,16
Homer vs Bart,Bart Simpson,2,22,6
Homer vs Bart,Bart Simpson,2,22,9
Homer vs Bart,Homer Simpson,2,22,15
Homer vs Bart,Homer Simpson,2,22,9
Homer vs Bart,Homer Simpson,2,22,3
Homer vs Bart,Bart Simpson,3,1,8
Homer vs Bart,Bart Simpson,3,1,7
Homer vs Bart,Bart Simpson,3,1,26
Homer vs Bart,Bart Simpson,3,7,3
Homer vs Bart,Bart Simpson,3,1,10
Homer vs Bart,Bart Simpson,3,1,18
Homer vs Bart,Bart Simpson,3,1,2
Homer vs Bart,Bart Simpson,3,1,3
Homer vs Bart,Bart Simpson,3,1,9
Homer vs Bart,Homer Simpson,3,1,8
Homer vs Bart,Homer Simpson,3,1,6
