id,imdb_rating,imdb_votes,number_in_season,number_in_series,original_air_date,production_code,season,title,us_viewers_in_millions,views,air_year,air_month,air_dayofweek_num,air_dayofweek,imdb_rating_roll5,season_avg_imdb,season_avg_viewers,season_n_episodes
1,8.2,3734,1,1,1989-12-17,7G08,1,Simpsons Roasting on an Open Fire,26.7,171408,1989,12,6,Sunday,7.833,7.808,27.808,13
2,7.8,1973,2,2,1990-01-14,7G02,1,Bart the Genius,24.5,91423,1990,1,6,Sunday,7.825,7.808,27.808,13
3,7.5,1709,3,3,1990-01-21,7G03,1,Homer's Odyssey,27.5,78072,1990,1,6,Sunday,7.88,7.808,27.808,13
4,7.8,1701,4,4,1990-01-28,7G04,1,There's No Disgrace Like Home,20.2,67378,1990,1,6,Sunday,7.76,7.808,27.808,13
5,8.1,1732,5,5,1990-02-04,7G05,1,Bart the General,27.1,63129,1990,2,6,Sunday,7.78,7.808,27.808,13
6,7.6,1674,6,6,1990-02-11,7G06,1,Moaning Lisa,27.4,55355,1990,2,6,Sunday,7.82,7.808,27.808,13
7,7.9,1638,7,7,1990-02-18,7G09,1,The Call of the Simpsons,27.6,57793,1990,2,6,Sunday,7.76,7.808,27.808,13
8,7.7,1580,8,8,1990-02-25,7G07,1,The Telltale Head,28.0,66311,1990,2,6,Sunday,7.62,7.808,27.808,13
9,7.5,1578,9,9,1990-03-18,7G11,1,Life on the Fast Lane,33.5,64776,1990,3,6,Sunday,7.66,7.808,27.808,13
10,7.4,1511,10,10,1990-03-25,7G10,1,Homer's Night Out,30.3,50816,1990,3,6,Sunday,7.74,7.808,27.808,13
11,7.8,1539,11,11,1990-04-15,7G13,1,The Crepes of Wrath,31.2,60458,1990,4,6,Sunday,7.78,7.808,27.808,13
12,8.3,1716,12,12,1990-04-29,7G12,1,Krusty Gets Busted,30.4,62561,1990,4,6,Sunday,7.92,7.808,27.808,13
13,7.9,1567,13,13,1990-05-13,7G01,1,Some Enchanted Evening,27.1,57590,1990,5,6,Sunday,8.1,7.808,27.808,13
14,8.2,1638,1,14,1990-10-11,7F03,2,"Bart Gets an ""F""",33.6,59575,1990,10,3,Thursday,8.18,8.041,24.405,22
15,8.3,1588,2,15,1990-10-18,7F02,2,Simpson and Delilah,29.9,58553,1990,10,3,Thursday,8.14,8.041,24.405,22
16,8.2,1786,3,16,1990-10-25,7F04,2,Treehouse of Horror,27.4,130282,1990,10,3,Thursday,8.06,8.041,24.405,22
17,8.1,1457,4,17,1990-11-01,7F01,2,Two Cars in Every Garage and Three Eyes on Every Fish,26.1,64959,1990,11,3,Thursday,8.02,8.041,24.405,22
18,7.5,1381,5,18,1990-11-08,7F05,2,Dancin' Homer,26.1,49005,1990,11,3,Thursday,7.9,8.041,24.405,22
19,8.0,1366,6,19,1990-11-15,7F08,2,Dead Putting Society,25.4,50691,1990,11,3,Thursday,7.94,8.041,24.405,22
20,7.7,1324,7,20,1990-11-22,7F07,2,Bart vs. Thanksgiving,25.9,47539,1990,11,3,Thursday,7.94,8.041,24.405,22
